AssemblyDistrict,Assemblymember,CPA_Communities,Customer_Count
AD 34,Tom Lackey,Los Angeles County,79070
AD 38,Steve Bennett,"Camarillo, Ojai, Oxnard, Santa Paula, City of Ventura, Ventura County",417004
AD 39,Juan Carrillo,Los Angeles County ,50495
AD 40,Pilar Schiavo,Los Angeles County ,108283
AD 41,Chris Holden ,"Los Angeles County, Claremont, Monrovia, Sierra Madre",130899
AD 42,Jacqui Irwin ,"Agoura Hills, Calabasas, Los Angeles County, Malibu, Camarillo, Westlake Village, Moorpark, Simi Valley, Thousand Oaks, Ventura County",409861
AD 43,Luz Rivas,Los Angeles County,3073
AD 44,Laura Friedman,Los Angeles County,18597
AD 46,Jesse Gabriel,"Los Angeles County, Ventura County",8624
AD 48,Blanca Rubio,Los Angeles County,227471
AD 49,Mike Fong,"Alhbambra, Arcadia, South Pasadena, Temple City, Los Angeles County",239799
AD 51,Rick Chavez Zbur,"Beverly Hills, West Hollywood, Santa Monica, Los Angeles County ",161845
AD 52,Wendy Carillo,Los Angeles County,119046
AD 53,Freddie Rodriguez,Los Angeles County,9879
AD 54,Miguel Santiago,Los Angeles County,3156
AD 55,Isaac Bryan,"Culver City, Los Angeles County",58302
AD 56,Lisa Calderon,"Whittier, Los Angeles County",253954
AD 57,Reginald Jones-Sawyer,Los Angeles County,63757
AD 61,Tina McKinnor,"Hawthorne, Los Angeles County",166147
AD 62,Anthony Rendon,"Paramount, Los Angeles County",72781
AD 64,Blanca Pacheco,"Downey, Los Angeles County",182232
AD 65,Mike Gipson,"Carson, Los Angeles County",142873
AD 66,Al Muratsuchi,"Hermosa Beach, Manhattan Beach, Redondo Beach, Rolling Hills Estates, Los Angeles County",132570
AD 67,Sharon Quirk-Silva,Hawaiian Gardens,13159
AD 69,Josh Lowenthal,"Carson, Los Angeles County",67997
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
